whole_path,taxid,name_clean,command
 PrespKHP7_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761885,PrespKHP7,"seqfu cat --append ""|kraken:taxid|1761885""  PrespKHP7_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespKHP7.fasta"
 PrespLC2012_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761886,PrespLC2012,"seqfu cat --append ""|kraken:taxid|1761886""  PrespLC2012_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespLC2012.fasta"
 PrespMA2016_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1408310,PrespMA2016,"seqfu cat --append ""|kraken:taxid|1408310""  PrespMA2016_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespMA2016.fasta"
 PrespNE3005_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761887,PrespNE3005,"seqfu cat --append ""|kraken:taxid|1761887""  PrespNE3005_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespNE3005.fasta"
 PrespP6B1_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410613,PrespP6B1,"seqfu cat --append ""|kraken:taxid|1410613""  PrespP6B1_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespP6B1.fasta"
 PrespP6B4_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410614,PrespP6B4,"seqfu cat --append ""|kraken:taxid|1410614""  PrespP6B4_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespP6B4.fasta"
 PrevotellaspRM4_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1200547,PrevotellaspRM4,"seqfu cat --append ""|kraken:taxid|1200547""  PrevotellaspRM4_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrevotellaspRM4.fasta"
 PrespTC224_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,81582,PrespTC224,"seqfu cat --append ""|kraken:taxid|81582""  PrespTC224_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespTC224.fasta"
 PrespTC228_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761888,PrespTC228,"seqfu cat --append ""|kraken:taxid|1761888""  PrespTC228_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespTC228.fasta"
 PrespTF25_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1761889,PrespTF25,"seqfu cat --append ""|kraken:taxid|1761889""  PrespTF25_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PrespTF25.fasta"
 ProbacP6A17_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410634,ProbacP6A17,"seqfu cat --append ""|kraken:taxid|1410634""  ProbacP6A17_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_ProbacP6A17.fasta"
 ProacnNLAEzlG260_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1747,ProacnNLAEzlG260,"seqfu cat --append ""|kraken:taxid|1747""  ProacnNLAEzlG260_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_ProacnNLAEzlG260.fasta"
 ProrumDSM24773_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410668,ProrumDSM24773,"seqfu cat --append ""|kraken:taxid|1410668""  ProrumDSM24773_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_ProrumDSM24773.fasta"
 PromirNLAEzlC285_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,584,PromirNLAEzlC285,"seqfu cat --append ""|kraken:taxid|584""  PromirNLAEzlC285_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PromirNLAEzlC285.fasta"
 PromirNLAEzlG534_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,584,PromirNLAEzlG534,"seqfu cat --append ""|kraken:taxid|584""  PromirNLAEzlG534_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PromirNLAEzlG534.fasta"
 PserumACV9_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,46206,PserumACV9,"seqfu cat --append ""|kraken:taxid|46206""  PserumACV9_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PserumACV9.fasta"
 PserumAD2017_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1280694,PserumAD2017,"seqfu cat --append ""|kraken:taxid|1280694""  PserumAD2017_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PserumAD2017.fasta"
 PserumCF1b_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1280688,PserumCF1b,"seqfu cat --append ""|kraken:taxid|1280688""  PserumCF1b_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PserumCF1b.fasta"
 PserumDSM9787_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1123011,PserumDSM9787,"seqfu cat --append ""|kraken:taxid|1123011""  PserumDSM9787_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PserumDSM9787.fasta"
 PserumHUN009_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta,1458469,PserumHUN009,"seqfu cat --append ""|kraken:taxid|1458469""  PserumHUN009_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta > N_PserumHUN009.fasta"
 Psesp49_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1855344,Psesp49,"seqfu cat --append ""|kraken:taxid|1855344""  Psesp49_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_Psesp49.fasta"
 PsespACV2_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520801,PsespACV2,"seqfu cat --append ""|kraken:taxid|1520801""  PsespACV2_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PsespACV2.fasta"
 PsespAR14_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520804,PsespAR14,"seqfu cat --append ""|kraken:taxid|1520804""  PsespAR14_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PsespAR14.fasta"
 PsespC4_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520803,PsespC4,"seqfu cat --append ""|kraken:taxid|1520803""  PsespC4_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PsespC4.fasta"
 PsespJW11_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1855302,PsespJW11,"seqfu cat --append ""|kraken:taxid|1855302""  PsespJW11_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PsespJW11.fasta"
 PsespLB2011_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1408312,PsespLB2011,"seqfu cat --append ""|kraken:taxid|1408312""  PsespLB2011_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PsespLB2011.fasta"
 PsespMD2005_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410616,PsespMD2005,"seqfu cat --append ""|kraken:taxid|1410616""  PsespMD2005_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PsespMD2005.fasta"
 PsespNOR37_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1798168,PsespNOR37,"seqfu cat --append ""|kraken:taxid|1798168""  PsespNOR37_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PsespNOR37.fasta"
 PsespOR37_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1798186,PsespOR37,"seqfu cat --append ""|kraken:taxid|1798186""  PsespOR37_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PsespOR37.fasta"
 PsespUC1225_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1798185,PsespUC1225,"seqfu cat --append ""|kraken:taxid|1798185""  PsespUC1225_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_PsespUC1225.fasta"
 PsespYE44_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520802,PsespYE44,"seqfu cat --append ""|kraken:taxid|1520802""  PsespYE44_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PsespYE44.fasta"
 PsexylDSM10317_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,185007,PsexylDSM10317,"seqfu cat --append ""|kraken:taxid|185007""  PsexylDSM10317_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_PsexylDSM10317.fasta"
 RuabacKH17_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1945888,RuabacKH17,"seqfu cat --append ""|kraken:taxid|1945888""  RuabacKH17_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RuabacKH17.fasta"
 RumamyDSM1361_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,867,RumamyDSM1361,"seqfu cat --append ""|kraken:taxid|867""  RumamyDSM1361_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumamyDSM1361.fasta"
 RumamyRM87_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1200567,RumamyRM87,"seqfu cat --append ""|kraken:taxid|1200567""  RumamyRM87_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumamyRM87.fasta"
 RumbacAB4001_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410638,RumbacAB4001,"seqfu cat --append ""|kraken:taxid|1410638""  RumbacAB4001_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumbacAB4001.fasta"
 RumbacAE2021_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta,1392491,RumbacAE2021,"seqfu cat --append ""|kraken:taxid|1392491""  RumbacAE2021_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta > N_RumbacAE2021.fasta"
 RumbacD5_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520815,RumbacD5,"seqfu cat --append ""|kraken:taxid|1520815""  RumbacD5_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumbacD5.fasta"
 RumbacFB2012_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520817,RumbacFB2012,"seqfu cat --append ""|kraken:taxid|1520817""  RumbacFB2012_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumbacFB2012.fasta"
 RumbacKH2T8_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1855400,RumbacKH2T8,"seqfu cat --append ""|kraken:taxid|1855400""  RumbacKH2T8_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumbacKH2T8.fasta"
 RumbacKHP2_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,2485925,RumbacKHP2,"seqfu cat --append ""|kraken:taxid|2485925""  RumbacKHP2_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumbacKHP2.fasta"
 RumbacP7_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1200751,RumbacP7,"seqfu cat --append ""|kraken:taxid|1200751""  RumbacP7_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumbacP7.fasta"
 RumbacR25_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,2485925,RumbacR25,"seqfu cat --append ""|kraken:taxid|2485925""  RumbacR25_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumbacR25.fasta"
 RumbacYAD3003_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520816,RumbacYAD3003,"seqfu cat --append ""|kraken:taxid|1520816""  RumbacYAD3003_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumbacYAD3003.fasta"
 RumbacYRB3002_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1520819,RumbacYRB3002,"seqfu cat --append ""|kraken:taxid|1520819""  RumbacYRB3002_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumbacYRB3002.fasta"
 RumalbAR67_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1264,RumalbAR67,"seqfu cat --append ""|kraken:taxid|1264""  RumalbAR67_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumalbAR67.fasta"
 RumalbKH2T6_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1264,RumalbKH2T6,"seqfu cat --append ""|kraken:taxid|1264""  RumalbKH2T6_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumalbKH2T6.fasta"
 RumflaMA2007_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410670,RumflaMA2007,"seqfu cat --append ""|kraken:taxid|1410670""  RumflaMA2007_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumflaMA2007.fasta"
 RumflaND2009_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410672,RumflaND2009,"seqfu cat --append ""|kraken:taxid|1410672""  RumflaND2009_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumflaND2009.fasta"
 RumflaSAb67_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1265,RumflaSAb67,"seqfu cat --append ""|kraken:taxid|1265""  RumflaSAb67_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumflaSAb67.fasta"
 RumflaY1_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1265,RumflaY1,"seqfu cat --append ""|kraken:taxid|1265""  RumflaY1_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumflaY1.fasta"
 Selbov8141_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1265,Selbov8141,"seqfu cat --append ""|kraken:taxid|1265""  Selbov8141_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_Selbov8141.fasta"
 RumflaYL228_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta,1265,RumflaYL228,"seqfu cat --append ""|kraken:taxid|1265""  RumflaYL228_FD/Assembly/QC_and_Genome_Assembly/assembly.fasta > N_RumflaYL228.fasta"
 RumspFC2018_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta,1410617,RumspFC2018,"seqfu cat --append ""|kraken:taxid|1410617""  RumspFC2018_FD/Assembly/QC_and_Genome_Assembly/submission.assembly.fasta > N_RumspFC2018.fasta"
 RumspHUN007_FD/Assembly/QC_and_Genome_Assembly/finalContigs.fasta,1514668,RumspHUN007,"seqfu cat --append ""|kraken:taxid|1514668""  RumspHUN007_FD/Assembly/QC_and_Genome_Assembly/finalContigs.fasta > N_RumspHUN007.fasta"
 RumspNK3A76_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta,877411,RumspNK3A76,"seqfu cat --append ""|kraken:taxid|877411""  RumspNK3A76_FD/Assembly/QC_and_Genome_Assembly/final.assembly.fasta > N_RumspNK3A76.fasta"
